cve_id,description,severity,score
CVE-1999-0510,A router or firewall allows source routed packets from arbitrary hosts.,HIGH,7.5
CVE-1999-0511,IP forwarding is enabled on a machine which is not a router or firewall.,HIGH,7.5
CVE-1999-0517,"An SNMP community name is the default (e.g. public), null, or missing.",HIGH,7.5
CVE-1999-0518,A NETBIOS/SMB share password is guessable.,HIGH,7.5
CVE-1999-0519,"A NETBIOS/SMB share password is the default, null, or missing.",HIGH,7.5
CVE-1999-0521,An NIS domain name is easily guessable.,HIGH,7.2
CVE-1999-0525,IP traceroute is allowed from arbitrary hosts.,LOW,0.0
CVE-1999-0534,"A Windows NT user has inappropriate rights or privileges, e.g. Act as System, Add Workstation, Backup, Change System Time, Create Pagefile, Create Permanent Object, Create Token Name, Debug, Generate Security Audit, Increase Priority, Increase Quota, Load Driver, Lock Memory, Profile Single Process, Remote Shutdown, Replace Process Token, Restore, System Environment, Take Ownership, or Unsolicited Input.",MEDIUM,4.6
CVE-1999-0535,"A Windows NT account policy for passwords has inappropriate, security-critical settings, e.g. for password length, password age, or uniqueness.",HIGH,10.0
CVE-1999-0550,A router's routing tables can be obtained from arbitrary hosts.,HIGH,7.5
CVE-1999-0562,The registry in Windows NT can be accessed remotely by users who are not administrators.,HIGH,7.5
CVE-1999-0572,".reg files are associated with the Windows NT registry editor (regedit), making the registry susceptible to Trojan Horse attacks.",HIGH,9.3
CVE-1999-0575,"A Windows NT system's user audit policy does not log an event success or failure, e.g. for Logon and Logoff, File and Object Access, Use of User Rights, User and Group Management, Security Policy Changes, Restart, Shutdown, and System, and Process Tracking.",HIGH,7.5
CVE-1999-0576,A Windows NT system's file audit policy does not log an event success or failure for security-critical files or directories.,HIGH,7.5
CVE-1999-0582,"A Windows NT account policy has inappropriate, security-critical settings for lockout, e.g. lockout duration, lockout after bad logon attempts, etc.",MEDIUM,5.0
CVE-1999-0626,A version of rusers is running that exposes valid user information to any entity on the network.,LOW,0.0
CVE-1999-1120,"netprint in SGI IRIX 6.4 and earlier trusts the PATH environmental variable for finding and executing the disable program, which allows local users to gain privileges.",MEDIUM,4.6
CVE-1999-0051,"Arbitrary file creation and program execution using FLEXlm LicenseManager, from versions 4.0 to 5.0, in IRIX.",HIGH,7.2
CVE-1999-1249,"movemail in HP-UX 10.20 has insecure permissions, which allows local users to gain privileges.",MEDIUM,4.6
CVE-1999-1145,Vulnerability in Glance programs in GlancePlus for HP-UX 10.20 and earlier allows local users to access arbitrary files and gain privileges.,HIGH,7.2
CVE-1999-1311,Vulnerability in dtlogin and dtsession in HP-UX 10.20 and 10.10 allows local users to bypass authentication and gain privileges.,MEDIUM,4.6
CVE-1999-0049,Csetup under IRIX allows arbitrary file creation or overwriting.,HIGH,7.2
CVE-1999-1088,Vulnerability in chsh command in HP-UX 9.X through 10.20 allows local users to gain privileges.,HIGH,7.2
CVE-1999-0081,wu-ftp allows files to be overwritten via the rnfr command.,MEDIUM,5.0
CVE-1999-0048,"Talkd, when given corrupt DNS information, can be used to execute arbitrary commands with root privileges.",HIGH,10.0
CVE-1999-0966,Buffer overflow in Solaris getopt in libc allows local users to gain root privileges via a long argv[0].,HIGH,7.2
CVE-1999-0047,MIME conversion buffer overflow in sendmail versions 8.8.3 and 8.8.4.,HIGH,10.0
CVE-1999-1144,"Certain files in MPower in HP-UX 10.x are installed with insecure permissions, which allows local users to gain privileges.",HIGH,7.2
CVE-1999-0174,The view-source CGI program allows remote attackers to read arbitrary files via a .. (dot dot) attack.,MEDIUM,6.4
CVE-1999-0309,HP-UX vgdisplay program gives root access to local users.,HIGH,7.2
CVE-1999-0369,The Sun sdtcm_convert calendar utility for OpenWindows has a buffer overflow which can gain root access.,HIGH,7.2
CVE-1999-0959,IRIX startmidi program allows local users to modify arbitrary files via a symlink attack.,HIGH,7.2
CVE-1999-1160,Vulnerability in ftpd/kftpd in HP-UX 10.x and 9.x allows local and possibly remote users to gain root privileges.,HIGH,10.0
CVE-1999-1299,"rcp on various Linux systems including Red Hat 4.0 allows a ""nobody"" user or other user with UID of 65535 to overwrite arbitrary files, since 65535 is interpreted as -1 by chown and other system calls, which causes the calls to fail to modify the ownership of the file.",HIGH,10.0
CVE-1999-0298,ypbind with -ypset and -ypsetme options activated in Linux Slackware and SunOS allows local and remote attackers to overwrite files via a .. (dot dot) attack.,HIGH,7.5
CVE-1999-0046,Buffer overflow of rlogin program using TERM environmental variable.,HIGH,10.0
CVE-1999-0228,Denial of service in RPCSS.EXE program (RPC Locator) in Windows NT.,MEDIUM,5.0
CVE-1999-0109,Buffer overflow in ffbconfig in Solaris 2.5.1.,HIGH,7.2
CVE-1999-0041,Buffer overflow in NLS (Natural Language Service).,HIGH,7.5
CVE-1999-0868,ucbmail allows remote attackers to execute commands via shell metacharacters that are passed to it from INN.,HIGH,7.2
CVE-1999-0105,finger allows recursive searches by using a long string of @ symbols.,LOW,2.1
CVE-1999-0106,Finger redirection allows finger bombs.,LOW,2.1
CVE-1999-0165,NFS cache poisoning.,HIGH,10.0
CVE-1999-0318,Buffer overflow in xmcd 2.0p12 allows local users to gain access through an environmental variable.,HIGH,7.2
CVE-1999-0612,A version of finger is running that exposes valid user information to any entity on the network.,LOW,0.0
CVE-1999-1128,"Internet Explorer 3.01 on Windows 95 allows remote malicious web sites to execute arbitrary commands via a .isp file, which is automatically downloaded and executed without prompting the user.",MEDIUM,5.1
CVE-1999-1489,Buffer overflow in TestChip function in XFree86 SuperProbe in Slackware Linux 3.1 allows local users to gain root privileges via a long -nopr argument.,HIGH,7.2
CVE-1999-0299,Buffer overflow in FreeBSD lpd through long DNS hostnames.,HIGH,9.3
CVE-1999-1408,"Vulnerability in AIX 4.1.4 and HP-UX 10.01 and 9.05 allows local users to cause a denial of service (crash) by using a socket to connect to a port on the localhost, calling shutdown to clear the socket, then using the same socket to connect to a different port on localhost.",LOW,2.1
CVE-1999-1525,Macromedia Shockwave before 6.0 allows a malicious webmaster to read a user's mail box and possibly access internal web servers via the GetNextText command on a Shockwave movie.,MEDIUM,5.1
CVE-1999-0280,Remote command execution in Microsoft Internet Explorer using .lnk and .url files.,HIGH,7.5
CVE-1999-0292,Denial of service through Winpopup using large user names.,MEDIUM,5.0
CVE-1999-0315,Buffer overflow in Solaris fdformat command gives root access to local users.,HIGH,7.2
CVE-1999-1387,"Windows NT 4.0 SP2 allows remote attackers to cause a denial of service (crash), possibly via malformed inputs or packets, such as those generated by a Linux smbmount command that was compiled on the Linux 2.0.29 kernel but executed on Linux 2.0.25.",MEDIUM,5.0
CVE-1999-0042,Buffer overflow in University of Washington's implementation of IMAP and POP servers.,HIGH,10.0
CVE-1999-1298,"Sysinstall in FreeBSD 2.2.1 and earlier, when configuring anonymous FTP, creates the ftp user without a password and with /bin/date as the shell, which could allow attackers to gain access to certain system resources.",HIGH,7.5
CVE-1999-0058,"Buffer overflow in PHP cgi program, php.cgi allows shell access.",HIGH,7.5
CVE-1999-0149,The wrap CGI program in IRIX allows remote attackers to view arbitrary directory listings via a .. (dot dot) attack.,HIGH,7.5
CVE-1999-0038,Buffer overflow in xlock program allows local users to execute commands as root.,HIGH,8.4
CVE-1999-1296,"Buffer overflow in Kerberos IV compatibility libraries as used in Kerberos V allows local users to gain root privileges via a long line in a kerberos configuration file, which can be specified via the KRB_CONF environmental variable.",HIGH,7.2
CVE-1999-0040,Buffer overflow in Xt library of X Windowing System allows local users to execute commands with root privileges.,HIGH,7.2
CVE-1999-0112,Buffer overflow in AIX dtterm program for the CDE.,HIGH,7.2
CVE-1999-1116,Vulnerability in runpriv in Indigo Magic System Administration subsystem of SGI IRIX 6.3 and 6.4 allows local users to gain root privileges.,HIGH,7.2
CVE-1999-1380,"Symantec Norton Utilities 2.0 for Windows 95 marks the TUNEOCX.OCX ActiveX control as safe for scripting, which allows remote attackers to execute arbitrary commands via the run option through malicious web pages that are accessed by browsers such as Internet Explorer 3.0.",MEDIUM,5.1
CVE-1999-1267,"KDE file manager (kfm) uses a TCP server for certain file operations, which allows remote attackers to modify arbitrary files by sending a copy command to the server.",MEDIUM,5.0
CVE-1999-0039,webdist CGI program (webdist.cgi) in SGI IRIX allows remote attackers to execute arbitrary commands via shell metacharacters in the distloc parameter.,HIGH,7.3
CVE-1999-1067,"SGI MachineInfo CGI program, installed by default on some web servers, prints potentially sensitive system status information, which could be used by remote attackers for information gathering activities.",MEDIUM,5.0
CVE-1999-1398,"Vulnerability in xfsdump in SGI IRIX may allow local users to obtain root privileges via the bck.log log file, possibly via a symlink attack.",MEDIUM,6.2
CVE-1999-1461,"inpview in InPerson on IRIX 5.3 through IRIX 6.5.10 trusts the PATH environmental variable to find and execute the ttsession program, which allows local users to obtain root access by modifying the PATH to point to a Trojan horse ttsession program.",HIGH,7.2
CVE-1999-1286,addnetpr in SGI IRIX 6.2 and earlier allows local users to modify arbitrary files and possibly gain root access via a symlink attack on a temporary file.,HIGH,7.2
CVE-1999-1410,addnetpr in IRIX 5.3 and 6.2 allows local users to overwrite arbitrary files and possibly gain root privileges via a symlink attack on the printers temporary file.,MEDIUM,6.2
CVE-1999-1158,"Buffer overflow in (1) pluggable authentication module (PAM) on Solaris 2.5.1 and 2.5 and (2) unix_scheme in Solaris 2.4 and 2.3 allows local users to gain root privileges via programs that use these modules such as passwd, yppasswd, and nispasswd.",HIGH,7.2
CVE-1999-1184,Buffer overflow in Elm 2.4 and earlier allows local users to gain privileges via a long TERM environmental variable.,MEDIUM,4.6
CVE-1999-0962,Buffer overflow in HPUX passwd command allows local users to gain root privileges via a command line option.,HIGH,7.2
CVE-1999-1141,Ascom Timeplex router allows remote attackers to obtain sensitive information or conduct unauthorized activities by entering debug mode through a sequence of CTRL-D characters.,HIGH,7.5
CVE-1999-1232,Untrusted search path vulnerability in day5datacopier in SGI IRIX 6.2 allows local users to execute arbitrary commands via a modified PATH environment variable that points to a malicious cp program.,HIGH,7.2
CVE-1999-1402,"The access permissions for a UNIX domain socket are ignored in Solaris 2.x and SunOS 4.x, and other BSD-based operating systems before 4.4, which could allow local users to connect to the socket and possibly disrupt or control the operations of the program using that socket.",LOW,2.1
CVE-1999-1191,Buffer overflow in chkey in Solaris 2.5.1 and earlier allows local users to gain root privileges via a long command line argument.,HIGH,7.2
CVE-1999-1449,SunOS 4.1.4 on a Sparc 20 machine allows local users to cause a denial of service (kernel panic) by reading from the /dev/tcx0 TCX device.,LOW,2.1
CVE-1999-0037,"Arbitrary command execution via metamail package using message headers, when user processes attacker's message using metamail.",HIGH,7.5
CVE-1999-0259,cfingerd lists all users on a system via search.**@target.,MEDIUM,5.0
CVE-1999-0036,IRIX login program with a nonzero LOCKOUT parameter allows creation or damage to files.,HIGH,8.4
CVE-1999-0064,Buffer overflow in AIX lquerylv program gives root access to local users.,HIGH,7.2
CVE-1999-1143,Vulnerability in runtime linker program rld in SGI IRIX 6.x and earlier allows local users to gain privileges via setuid and setgid programs.,HIGH,7.2
CVE-1999-0034,"Buffer overflow in suidperl (sperl), Perl 4.x and 5.x.",HIGH,7.2
CVE-1999-0035,"Race condition in signal handling routine in ftpd, allowing read/write arbitrary files.",MEDIUM,5.4
CVE-1999-0144,Denial of service in Qmail by specifying a large number of recipients with the RCPT command.,LOW,2.1
CVE-1999-0227,Access violation in LSASS.EXE (LSA/LSARPC) program in Windows NT allows a denial of service.,MEDIUM,5.0
CVE-1999-0281,Denial of service in IIS using long URLs.,MEDIUM,5.0
CVE-1999-0799,Buffer overflow in bootpd 2.4.3 and earlier via a long boot file location.,HIGH,10.0
CVE-1999-0189,"Solaris rpcbind listens on a high numbered UDP port, which may not be filtered since the standard port number is 111.",HIGH,7.5
